#arXiv:nucl-ex/0307022[nucl-ex]
#cuts
#cent_low cent_high cent_mid val err
0 5 2.5 13.5 1.8
5 10 7.5 11.4 1.5
10 15 12.5 9.5 1.3
15 20 17.5 7.9 1.1
20 30 25 5.9 0.8
30 40 35 3.9 0.5
40 50 45 2.4 0.3
50 60 55 1.4 0.2
60 70 65 0.71 0.12
70 80 75 0.29 0.05
80 90 85 0.15 0.02
