#https://arxiv.org/pdf/1509.06727.pdf
#cuts ? units[GeV]
#cen_low cen_high cen_mid val err
0 5 2.5 599.0 34.7
5 10 7.5 498.7 28.9
10 15 12.5 403.0 25.0
15 20 17.5 332.5 21.2
20 25 22.5 273.6 18.6
25 30 27.5 223.4 16.4
30 35 32.5 180.8 14.3
35 40 37.5 144.5 12.6
40 45 42.5 113.9 10.9
45 50 47.5 88.3 9.3
50 55 52.5 67.1 8.1
55 60 57.5 50.0 6.7
