#http://arxiv.org/pdf/0808.2041v2.pdf
# cuts ?
# cent_low cent_high cent_mid val err
70 80 75 0.749 0.049
60 70 65 0.817 0.047
50 60 55 0.864 0.052
40 50 45 0.897 0.055
30 40 35 0.939 0.062
20 30 25 0.989 0.071
10 20 15 1.017 0.082
5 10 7.5 1.071 0.098
0 5 2.5 1.104 0.11 
