#http://arxiv.org/pdf/0808.2041v2.pdf
#cuts ?
#cent_low cent_high cent_mid val err
0 5 2.5 26.7 3.4	
5 10 7.5 21.4 2.5
10 20 15 15.7 1.7
20 30 25 11.2 1.1
30 40 35 7.46 0.72
40 50 45 4.93 0.46
50 60 55 3.16 0.29
60 70 65 1.84 0.16
70 80 75 0.915 0.081
