#http://arxiv.org/pdf/1301.2187.pdf and xyscan for systematic errors
#0.15 < pT < 2.0 GeV/c ; −1.0 < η < 1.0
#cent_low cent_high cent_mid val stat_err sys_err
0 5 2.5 0.0138 0.0001 0.00109439124487
5 10 7.5 0.0157 0.0001 0.000547277537947
10 20 15 0.0175 0.0001 0.00054703179141
20 30 25 0.0183 0.0001 0.000492476060192
30 40 35 0.0187 0.0002 0.000328317373461
40 50 45 0.0181 0.0003 0.000218878248974
50 60 55 0.0163 0.0006 0.000437674582436
60 70 65 0.0109 0.0016 0.000547113706923
70 80 75 0.009 0.004 0.00082071151814
