#http://arxiv.org/pdf/0808.2041v2.pdf
#cuts ?
#cent_low cent_high cent_mid val err
0 5 2.5 49.5 6.2
5 10 7.5 39.8 4.6
10 20 15 28.7 3.1
20 30 25 19.7 2
30 40 35 13.2 1.3
40 50 45 8.37 0.78
50 60 55 5.19 0.47
60 70 65 2.89 0.26
70 80 75 1.38 0.13
