#http://arxiv.org/pdf/0808.2041v2.pdf
#cuts ?
#cent_low cent_high cent_mid val err
0 5 2.5 0.72 0.074	
5 10 7.5 0.703 0.064
10 20 15 0.681 0.055
20 30 25 0.668 0.047
30 40 35 0.643 0.042
40 50 45 0.619 0.037
50 60 55 0.608 0.036
60 70 65 0.583 0.033
70 80 75 0.553 0.035
