#arXiv:1303.0737
#cuts ?
#cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 5.184999999999999609e-01 1.849999999999999908e-02
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 5.190000000000000169e-01 1.750000000000000167e-02
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 5.190000000000000169e-01 1.700000000000000122e-02
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 5.140000000000000124e-01 1.700000000000000122e-02
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 5.055000000000000604e-01 1.700000000000000122e-02
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 4.944999999999999951e-01 1.750000000000000167e-02
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 4.804999999999999827e-01 1.700000000000000122e-02
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 4.675000000000000266e-01 1.650000000000000078e-02
