#arXiv:1506.08951
#cuts ?
#cent_low cent_high cent_mid val stat_err sys_err
0 10 5 9.82e-2 0.04e-2 1.58e-2
10 20 15 7.6e-2 0.04e-2 1.25e-2
20 40 30 4.76e-2 0.02e-2 0.82e-2
40 60 50 1.9e-2 0.01e-2 0.41e-2
60 80 70 0.51e-2 0.01e-2 0.14e-2
