#arXiv:1303.0737
#cuts ?
#cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 1.342999999999999972e+00 3.350000000000000200e-02
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 1.334000000000000075e+00 3.300000000000000155e-02
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 1.318000000000000060e+00 3.500000000000000333e-02
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 1.287999999999999812e+00 3.600000000000000422e-02
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 1.240000000000000213e+00 3.650000000000000466e-02
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 1.179999999999999938e+00 3.150000000000000022e-02
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 1.112500000000000044e+00 2.999999999999999889e-02
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 1.047499999999999876e+00 3.300000000000000155e-02
