#arXiv:1105.3865
#cuts ?
#cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 9.719999999999999474e-03 4.860041152089146781e-04
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 1.132999999999999979e-02 6.506919393998976137e-04
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 1.250000000000000069e-02 5.682429058070149509e-04
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 1.389999999999999916e-02 7.310950690573694887e-04
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 1.540000000000000049e-02 8.421995013059553701e-04
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 1.514000000000000068e-02 1.022007827758672277e-03
