#arXiv:1303.0737
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 2.560999999999999943e+01 2.997749155616593608e+00
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 2.157999999999999829e+01 1.998599509656699524e+00
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 1.689000000000000057e+01 2.003397114902584875e+00
2.000000000000000000e+01 4.000000000000000000e+01 3.000000000000000000e+01 9.789999999999999147e+00 9.996044217589274972e-01
4.000000000000000000e+01 6.000000000000000000e+01 5.000000000000000000e+01 3.790000000000000036e+00 3.997299088134386724e-01
