#arXiv:1303.0737
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 1.000000000000000000e+01 5.000000000000000000e+00 6.669999999999999929e+00 4.767598976424086699e-01
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 5.139999999999999680e+00 3.649657518178931470e-01
2.000000000000000000e+01 4.000000000000000000e+01 3.000000000000000000e+01 3.029999999999999805e+00 2.220360331117451624e-01
4.000000000000000000e+01 6.000000000000000000e+01 5.000000000000000000e+01 1.070000000000000062e+00 8.062257748298549964e-02
