#arXiv:1506.08951
#cuts ?
#cent_low cent_high cent_mid val stat_err sys_err
0 10 5 2.12 0.0 0.09
10 20 15 2.07 0.01 0.10
20 40 30 1.92 0.0 0.11
40 60 50 1.63 0.01 0.09
60 80 70 1.29 0.01 0.14
