#arXiv:1012.1657
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 1.601000000000000000e+03 6.000000000000000000e+01
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 1.294000000000000000e+03 4.900000000000000000e+01
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 9.660000000000000000e+02 3.700000000000000000e+01
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 6.490000000000000000e+02 2.300000000000000000e+01
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 4.260000000000000000e+02 1.500000000000000000e+01
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 2.610000000000000000e+02 9.000000000000000000e+00
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 1.490000000000000000e+02 6.000000000000000000e+00
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 7.600000000000000000e+01 4.000000000000000000e+00
