#arXiv:1105.3865
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 2.015000000000000124e-02 8.319855767980595482e-04
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 2.325999999999999943e-02 9.454099639838794023e-04
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 2.622000000000000025e-02 1.068877916321597354e-03
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 2.884000000000000105e-02 1.167261752992875250e-03
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 3.031000000000000014e-02 1.237618681177688048e-03
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 3.022000000000000033e-02 1.262418314189080529e-03
