#arXiv:1303.0737
#cuts ?
#cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 1.465000000000000000e+03 1.060000000000000000e+02
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 1.210000000000000000e+03 8.400000000000000000e+01
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 9.080000000000000000e+02 6.200000000000000000e+01
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 6.130000000000000000e+02 4.000000000000000000e+01
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 4.010000000000000000e+02 2.600000000000000000e+01
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 2.470000000000000000e+02 1.600000000000000000e+01
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 1.420000000000000000e+02 9.000000000000000000e+00
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 7.400000000000000000e+01 4.000000000000000000e+00
