#arXiv:1303.0737
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 2.180000000000000000e+02 1.800000000000000000e+01
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 1.810000000000000000e+02 1.500000000000000000e+01
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 1.360000000000000000e+02 1.100000000000000000e+01
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 9.200000000000000000e+01 8.000000000000000000e+00
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 6.000000000000000000e+01 4.000000000000000000e+00
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 3.640000000000000568e+01 2.899999999999999911e+00
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 2.039999999999999858e+01 1.600000000000000089e+00
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 1.019999999999999929e+01 8.000000000000000444e-01
