#arXiv:1303.0737
#cuts ?
#cent_low cent_high cent_mid val err
0.000000000000000000e+00 1.000000000000000000e+01 5.000000000000000000e+00 1.189999999999999947e+00 1.992485884517127548e-01
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 7.800000000000000266e-01 1.552417469626002355e-01
2.000000000000000000e+01 4.000000000000000000e+01 3.000000000000000000e+01 4.799999999999999822e-01 8.246211251235321948e-02
4.000000000000000000e+01 6.000000000000000000e+01 5.000000000000000000e+01 1.700000000000000122e-01 2.983286778035259754e-02
