#arXiv:1303.0737
# cuts ?
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 6.700000000000000000e+01 6.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 5.600000000000000000e+01 4.000000000000000000e+00
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 4.210000000000000142e+01 3.500000000000000000e+00
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 2.889999999999999858e+01 2.399999999999999911e+00
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 1.929999999999999716e+01 1.600000000000000089e+00
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 1.230000000000000071e+01 1.000000000000000000e+00
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 7.300000000000000711e+00 5.999999999999999778e-01
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 3.899999999999999911e+00 4.000000000000000222e-01
