#arXiv:1105.3865
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 2.724000000000000032e-02 6.905070600652828605e-04
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 4.456999999999999851e-02 1.122942563090383603e-03
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 6.403000000000000358e-02 1.607015867998819788e-03
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 8.314000000000000556e-02 1.333754100274859525e-03
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 9.460999999999999965e-02 1.518453160291748961e-03
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 9.940999999999999837e-02 1.606549096666516456e-03
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 9.758999999999999619e-02 1.608011193990887492e-03
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 9.002999999999999892e-02 1.511687798455752744e-03
