#arXiv:1303.0737
# cuts ?
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 8.714999999999999414e-01 2.649999999999999925e-02
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 8.689999999999999947e-01 2.650000000000000272e-02
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 8.674999999999999378e-01 2.849999999999999756e-02
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 8.554999999999999272e-01 3.150000000000000022e-02
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 8.365000000000000213e-01 3.150000000000000022e-02
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 8.129999999999999449e-01 2.899999999999999800e-02
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 7.824999999999999734e-01 2.750000000000000014e-02
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 7.570000000000000062e-01 2.750000000000000014e-02
