#arXiv:1602.01119
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 2.067000000000000087e-02 1.139912277326637002e-03
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 2.319999999999999840e-02 1.336001497005149348e-03
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 2.799000000000000099e-02 1.372953021774598074e-03
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 3.092999999999999916e-02 1.549451515859725246e-03
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 3.314000000000000279e-02 1.736663467687392989e-03
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 3.234000000000000069e-02 2.017349746573459182e-03
