#arXiv:1910.07678
#cuts ?
#cent_low cent_high cent_mid val stat_err sys_err
0 5 2.5 0.5682 0.0002 0.0320
5 10 7.5 0.5711 0.0002 0.0181
10 20 15 0.5704 0.0002 0.0174
20 30 25 0.5615 0.0002 0.0192
30 40 35 0.5525 0.0002 0.0198
40 50 45 0.5389 0.0003 0.0206
50 60 55 0.5214 0.0004 0.0215
60 70 65 0.5082 0.0004 0.0205
70 80 75 0.4924 0.0006 0.0203
80 90 85 0.4775 0.0008 0.0178
