#arXiv:1910.07678
#cuts ?
#cent_low cent_high cent_mid val stat_err sys_err
0 5 2.5 74.56 0.06 3.75
5 10 7.5 61.51 0.07 2.93
10 20 15 47.40 0.04 2.20
20 30 25 33.17 0.04 1.50
30 40 35 22.51 0.03 1.01
40 50 45 14.46 0.02 0.66
50 60 55 8.71 0.02 0.40
60 70 65 4.74 0.01 0.27
70 80 75 2.30 0.01 0.14
80 90 85 0.92 0.01 0.06
