#arXiv:1602.01119
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 1.145999999999999970e-02 1.097724920005007515e-03
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 1.290999999999999960e-02 1.350703520392243593e-03
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 1.383000000000000028e-02 1.029417310909428980e-03
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 1.567999999999999949e-02 1.282224629306425324e-03
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 1.702000000000000041e-02 1.683240921555794476e-03
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 1.628999999999999893e-02 2.571167050193355185e-03
