#arXiv:1910.07678
#cuts ?
#cent_low cent_high cent_mid val stat_err sys_err
0 5 2.5 273.41 0.35 11.62
5 10 7.5 222.48 0.54 9.37
10 20 15 168.16 0.24 6.89
20 30 25 114.70 0.15 4.67
30 40 35 75.00 0.09 2.96
40 50 45 46.36 0.06 1.88
50 60 55 26.38 0.05 1.09
60 70 65 13.38 0.03 0.64
70 80 75 6.01 0.02 0.30
80 90 85 2.27 0.01 0.12
