#arXiv:1602.01119
# cent_low cent_high cent_mid val err
0.000000000000000000e+00 5.000000000000000000e+00 2.500000000000000000e+00 2.838999999999999857e-02 7.140028011149536025e-04
5.000000000000000000e+00 1.000000000000000000e+01 7.500000000000000000e+00 4.565999999999999920e-02 9.411163583744573680e-04
1.000000000000000000e+01 2.000000000000000000e+01 1.500000000000000000e+01 6.550999999999999879e-02 1.047520882846733354e-03
2.000000000000000000e+01 3.000000000000000000e+01 2.500000000000000000e+01 8.706999999999999462e-02 1.381918955655504376e-03
3.000000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 9.909999999999999365e-02 1.588269498542360181e-03
4.000000000000000000e+01 5.000000000000000000e+01 4.500000000000000000e+01 1.041399999999999965e-01 1.722353041626483762e-03
5.000000000000000000e+01 6.000000000000000000e+01 5.500000000000000000e+01 1.028599999999999931e-01 1.875233318816621345e-03
6.000000000000000000e+01 7.000000000000000000e+01 6.500000000000000000e+01 9.746000000000000496e-02 2.364571842850201732e-03
