#arXiv:1910.07678
#cuts ?
#cent_low cent_high cent_mid val stat_err sys_err
0 5 2.5 1.4482 0.0007 0.0244
5 10 7.5 1.4334 0.0009 0.0224
10 20 15 1.4143 0.0007 0.0216
20 30 25 1.3768 0.0008 0.0199
30 40 35 1.3209 0.0010 0.0177
40 50 45 1.2570 0.0012 0.0179
50 60 55 1.1822 0.0016 0.0151
60 70 65 1.1004 0.0022 0.0184
70 80 75 1.0181 0.0030 0.0221
80 90 85 0.9464 0.0053 0.0277
